estimate	std.error	statistic	p.value	term	cell_type	conf.low	conf.high	converged	entity	q.value	sig
0.110317452247112	0.787607224015024	0.1400665825343	0.888607383541246	groupCN	Astrocytes	-1.43339270682234	1.65402761131656	TRUE	CN	0.99999627110899	FALSE
1.21021453956205	0.356045167514669	3.3990477893853	0.000676208998126527	groupDNET	Astrocytes	0.512366011233303	1.9080630678908	TRUE	DNET	0.0109545857696497	TRUE
0.639347327466922	0.403422092695672	1.58480990268727	0.113009531780853	groupEVNCYT	Astrocytes	-0.151359974216595	1.43005462915044	TRUE	EVNCYT	0.554774065106007	FALSE
1.06342807941586	0.373490484401589	2.84726953919508	0.00440960091470234	groupGG	Astrocytes	0.331386729988746	1.79546942884297	TRUE	GG	0.0420209028342223	TRUE
0.661443924957369	0.397643602302011	1.66340894491495	0.0962306038045568	groupGTAKA	Astrocytes	-0.117937535554572	1.44082538546931	TRUE	GTAKA	0.502882510204458	FALSE
0.00950798194357679	0.742492545876027	0.0128054914441718	0.989782975316291	groupLIPN	Astrocytes	-1.44577740797344	1.46479337186059	TRUE	LIPN	0.99999627110899	FALSE
0.262482680708654	0.603747519177919	0.434755708919614	0.663739756965344	groupMYXGNT	Astrocytes	-0.920862456880067	1.44582781829738	TRUE	MYXGNT	0.99999627110899	FALSE
0.568021582342311	0.469549454962702	1.20971619994199	0.226387811432708	groupPA	Astrocytes	-0.352295349384586	1.48833851406921	TRUE	PA	0.940380139797403	FALSE
-0.223613103922438	0.619653330711639	-0.360868073872258	0.718198071014818	groupRGNT	Astrocytes	-1.43813363211725	0.990907424272375	TRUE	RGNT	0.99999627110899	FALSE
22.8702799272488	10510.1345991678	0.00217602160195548	0.998263787330008	groupCN	B_Cells	-20576.9935344416	20622.7340942961	TRUE	CN	0.99999627110899	FALSE
20.3633571894277	10510.1344781524	0.00193749730146245	0.998454101783756	groupDNET	B_Cells	-20579.5002199893	20620.2269343682	TRUE	DNET	0.99999627110899	FALSE
21.0800317830526	10510.1344795936	0.00200568620924704	0.998399695012772	groupEVNCYT	B_Cells	-20578.7835482204	20620.9436117865	TRUE	EVNCYT	0.99999627110899	FALSE
20.8034098694202	10510.1344726267	0.00197936666972262	0.998420694925318	groupGG	B_Cells	-20579.060156479	20620.6669762178	TRUE	GG	0.99999627110899	FALSE
21.0830777698062	10510.1344854168	0.00200597602238675	0.998399463775807	groupGTAKA	B_Cells	-20578.780513647	20620.9466691867	TRUE	GTAKA	0.99999627110899	FALSE
21.3554848698827	10510.1345493239	0.00203189452710255	0.998378783843203	groupLIPN	B_Cells	-20578.508231805	20621.2192015448	TRUE	LIPN	0.99999627110899	FALSE
21.7448384633498	10510.1344980262	0.00206894007564161	0.998349225834113	groupMYXGNT	B_Cells	-20578.1187776679	20621.6084545946	TRUE	MYXGNT	0.99999627110899	FALSE
19.3683601950008	10510.13452386	0.00184282704955211	0.998529637581161	groupPA	B_Cells	-20580.4953065707	20619.2320269607	TRUE	PA	0.99999627110899	FALSE
20.4898169109981	10510.134487193	0.00194952946948164	0.998444501520792	groupRGNT	B_Cells	-20579.3737779873	20620.3534118093	TRUE	RGNT	0.99999627110899	FALSE
25.1873810690905	5063.3903782248	0.00497441026419951	0.996031011219713	groupCN	Cycling_Cells	-9899.05776025152	9949.4325223897	TRUE	CN	0.99999627110899	FALSE
21.0587828182999	5063.39035502826	0.00415902810996732	0.996681585249836	groupDNET	Cycling_Cells	-9903.18631303708	9945.30387867368	TRUE	DNET	0.99999627110899	FALSE
21.0860113487767	5063.39036104641	0.00416440563441351	0.996677294643262	groupEVNCYT	Cycling_Cells	-9903.15909630219	9945.33111899974	TRUE	EVNCYT	0.99999627110899	FALSE
20.8493019561572	5063.39035527666	0.00411765645017467	0.996714594775777	groupGG	Cycling_Cells	-9903.3957943861	9945.09439829842	TRUE	GG	0.99999627110899	FALSE
25.0175104229581	5063.39034921722	0.0049408614974403	0.996057778933791	groupGTAKA	Cycling_Cells	-9899.22757404279	9949.26259488871	TRUE	GTAKA	0.99999627110899	FALSE
20.032362514426	5063.39047822662	0.00395631397589585	0.996843326395877	groupLIPN	Cycling_Cells	-9904.21297480976	9944.27769983861	TRUE	LIPN	0.99999627110899	FALSE
21.1534581452224	5063.39035741264	0.00417772611867745	0.996666666526978	groupMYXGNT	Cycling_Cells	-9903.09164238356	9945.398558674	TRUE	MYXGNT	0.99999627110899	FALSE
20.8043875188719	5063.39036575896	0.00410878601412228	0.99672167229988	groupPA	Cycling_Cells	-9903.44072936869	9945.04950440644	TRUE	PA	0.99999627110899	FALSE
21.1561031858778	5063.39037690424	0.00417824848788623	0.996666249740289	groupRGNT	Cycling_Cells	-9903.08903554642	9945.40124191818	TRUE	RGNT	0.99999627110899	FALSE
22.7290711988602	5744.54883823826	0.00395663294697148	0.996843071895772	groupCN	Endothelial	-11236.5866517481	11282.0447941458	TRUE	CN	0.99999627110899	FALSE
22.0619031156956	5744.54879364134	0.00384049364157477	0.996935736950197	groupDNET	Endothelial	-11237.2537324213	11281.3775386527	TRUE	DNET	0.99999627110899	FALSE
22.7095098193639	5744.54879323765	0.00395322777066443	0.996845788812126	groupEVNCYT	Endothelial	-11236.6061249264	11282.0251445652	TRUE	EVNCYT	0.99999627110899	FALSE
22.1895328717173	5744.54879568544	0.0038627111825359	0.996918010048774	groupGG	Endothelial	-11237.1261066717	11281.5051724152	TRUE	GG	0.99999627110899	FALSE
22.7551257135761	5744.54879373945	0.00396116849740666	0.996839453078464	groupGTAKA	Endothelial	-11236.5605100157	11282.0707614429	TRUE	GTAKA	0.99999627110899	FALSE
21.5782111046871	5744.54883723313	0.00375629343854274	0.99700291850755	groupLIPN	Endothelial	-11237.7375098722	11280.8939320816	TRUE	LIPN	0.99999627110899	FALSE
22.2633456291929	5744.5488011063	0.00387556036166067	0.996907757963869	groupMYXGNT	Endothelial	-11237.0523045392	11281.5789957975	TRUE	MYXGNT	0.99999627110899	FALSE
20.7150563246248	5744.54881501147	0.0036060371304519	0.997122804883535	groupPA	Endothelial	-11238.6006210979	11280.0307337471	TRUE	PA	0.99999627110899	FALSE
22.2343866078667	5744.54880285431	0.00387051922978164	0.996911780174997	groupRGNT	Endothelial	-11237.0812669866	11281.5500402023	TRUE	RGNT	0.99999627110899	FALSE
-2.32151533018716	1.17894325058457	-1.96914934542952	0.0489359437418047	groupCN	Excitatory_Neurons	-4.63224410133292	-0.0107865590413967	TRUE	CN	0.285753461840343	FALSE
-0.896563317511983	0.483161464033053	-1.85561843038593	0.0635079647967341	groupDNET	Excitatory_Neurons	-1.84355978701677	0.0504331519928004	TRUE	DNET	0.35476863093348	FALSE
-1.58263129340041	0.539676196908512	-2.93255715643264	0.00336183035612893	groupEVNCYT	Excitatory_Neurons	-2.64039663934109	-0.524865947459725	TRUE	EVNCYT	0.0340385323558054	TRUE
-0.570375071355053	0.520037607541974	-1.09679581453927	0.272730660257404	groupGG	Excitatory_Neurons	-1.58964878213732	0.448898639427215	TRUE	GG	0.99999627110899	FALSE
-2.37912085923212	0.644081389794128	-3.69382021733709	0.000220910014840453	groupGTAKA	Excitatory_Neurons	-3.64152038322861	-1.11672133523563	TRUE	GTAKA	0.00442881019029082	TRUE
1.04710854388994	1.00719448807444	1.03962894583727	0.298512323465729	groupLIPN	Excitatory_Neurons	-0.926992652735958	3.02120974051583	TRUE	LIPN	0.99999627110899	FALSE
-1.40924232708749	0.717093612938936	-1.96521388792162	0.0493894872316642	groupMYXGNT	Excitatory_Neurons	-2.8147458084478	-0.00373884572717209	TRUE	MYXGNT	0.285753461840343	FALSE
-1.336587589359	0.581361332133116	-2.2990651690831	0.0215012389948566	groupPA	Excitatory_Neurons	-2.47605580033991	-0.19711937837809	TRUE	PA	0.171084556393999	FALSE
-1.82609676980927	0.798359338216368	-2.28731184367304	0.0221776276807036	groupRGNT	Excitatory_Neurons	-3.39088107271335	-0.261312466905185	TRUE	RGNT	0.171084556393999	FALSE
-23.7061407195076	20004.6800699561	-0.00118502973487241	0.999054483291751	groupCN	Inhibitory_Neurons	-39232.8790778335	39185.4667963945	TRUE	CN	0.99999627110899	FALSE
-1.82678275720529	0.488958653633099	-3.73606795509555	0.000186920174214456	groupDNET	Inhibitory_Neurons	-2.78514171832616	-0.868423796084412	TRUE	DNET	0.00432586688896313	TRUE
-2.50294642222553	0.626600547532961	-3.99448489485061	6.48350545155385e-05	groupEVNCYT	Inhibitory_Neurons	-3.73108349539013	-1.27480934906093	TRUE	EVNCYT	0.00350109294383908	TRUE
-1.46348896013828	0.479064475007436	-3.05488934472873	0.0022514357314486	groupGG	Inhibitory_Neurons	-2.40245533115285	-0.524522589123704	TRUE	GG	0.0260523277496195	TRUE
-2.94804796597076	0.75278241023235	-3.91620198067703	8.99548923838317e-05	groupGTAKA	Inhibitory_Neurons	-4.42350149002616	-1.47259444191535	TRUE	GTAKA	0.00353867950148059	TRUE
-19.0123632545006	5339.5859238265	-0.00356064375135587	0.997159023327346	groupLIPN	Inhibitory_Neurons	-10484.6007739544	10446.5760474454	TRUE	LIPN	0.99999627110899	FALSE
-3.37057576068887	0.919329386500796	-3.66634180325525	0.000246045010571712	groupMYXGNT	Inhibitory_Neurons	-5.17246135823043	-1.56869016314731	TRUE	MYXGNT	0.00442881019029082	TRUE
-2.42202750996636	0.748683914731783	-3.23504680988646	0.00121622789629705	groupPA	Inhibitory_Neurons	-3.88944798284065	-0.954607037092067	TRUE	PA	0.0155229948691513	TRUE
-2.37845073922813	0.736770631219162	-3.22821056981115	0.0012456724277714	groupRGNT	Inhibitory_Neurons	-3.82252117641769	-0.934380302038577	TRUE	RGNT	0.0155229948691513	TRUE
22.3299247343394	5006.7387509913	0.00445997401600358	0.9964414673884	groupCN	Macrophage	-9790.8780272086	9835.53787667728	TRUE	CN	0.99999627110899	FALSE
21.6892100839424	5006.73872187344	0.00433200358332793	0.996543572034225	groupDNET	Macrophage	-9791.51868478799	9834.89710495588	TRUE	DNET	0.99999627110899	FALSE
22.7334811094337	5006.73871687371	0.00454057668973563	0.996377156410719	groupEVNCYT	Macrophage	-9790.47440396304	9835.94136618191	TRUE	EVNCYT	0.99999627110899	FALSE
21.8825906313984	5006.73872266443	0.00437062763677693	0.996512754790052	groupGG	Macrophage	-9791.32530579089	9835.09048705368	TRUE	GG	0.99999627110899	FALSE
22.0879976283245	5006.73872126443	0.00441165374468477	0.996480021007554	groupGTAKA	Macrophage	-9791.11989604996	9835.29589130661	TRUE	GTAKA	0.99999627110899	FALSE
22.1821646238756	5006.73875544284	0.00443046176510835	0.996465014525096	groupLIPN	Macrophage	-9791.02579604409	9835.39012529184	TRUE	LIPN	0.99999627110899	FALSE
21.6530842253596	5006.73872579367	0.00432478813280337	0.996549329076868	groupMYXGNT	Macrophage	-9791.55481833024	9834.86098678096	TRUE	MYXGNT	0.99999627110899	FALSE
21.8353041231274	5006.73873612019	0.00436118305227325	0.996520290406391	groupPA	Macrophage	-9791.37261867245	9835.0432269187	TRUE	PA	0.99999627110899	FALSE
21.9316397392137	5006.73873324965	0.00438042424574027	0.996504938301836	groupRGNT	Macrophage	-9791.2762774301	9835.13955690853	TRUE	RGNT	0.99999627110899	FALSE
0.0133317996775221	0.730147672698221	0.018259045636967	0.985432198862308	groupCN	Microglia	-1.41775763881099	1.44442123816603	TRUE	CN	0.99999627110899	FALSE
0.540499270507174	0.443971902325408	1.21741774124935	0.223445316322859	groupDNET	Microglia	-0.329685658050625	1.41068419906497	TRUE	DNET	0.940380139797403	FALSE
0.537961473236019	0.442070286580305	1.21691389257915	0.223636979262187	groupEVNCYT	Microglia	-0.328496288461378	1.40441923493342	TRUE	EVNCYT	0.940380139797403	FALSE
0.878116620507503	0.433490636899748	2.02568762912077	0.042796805206464	groupGG	Microglia	0.028474972183998	1.72775826883101	TRUE	GG	0.278282174217761	FALSE
0.379155042280835	0.510375340781737	0.742894517004069	0.45754554553445	groupGTAKA	Microglia	-0.621180625651369	1.37949071021304	TRUE	GTAKA	0.99999627110899	FALSE
-0.22219233533657	0.7608476061345	-0.292032640367263	0.770261667785907	groupLIPN	Microglia	-1.71345364336019	1.26906897268705	TRUE	LIPN	0.99999627110899	FALSE
0.845680523256533	0.47118140693552	1.79480877387902	0.0726841724285354	groupMYXGNT	Microglia	-0.0778350343370854	1.76919608085015	TRUE	MYXGNT	0.392494531114091	FALSE
1.59940000769565	0.482665445108648	3.31368243553383	0.000920760177708504	groupPA	Microglia	0.653375735282697	2.5454242801086	TRUE	PA	0.0135602862535252	TRUE
0.646480179726456	0.525602266034923	1.22997981839656	0.218704662367102	groupRGNT	Microglia	-0.383700261701992	1.67666062115491	TRUE	RGNT	0.940380139797403	FALSE
22.9516552089562	6852.25598956351	0.00334950346920975	0.997327487892792	groupCN	Monocytes	-13407.4700843355	13453.3733947534	TRUE	CN	0.99999627110899	FALSE
21.6163069171903	6852.25596566046	0.00315462630490143	0.997482976550981	groupDNET	Monocytes	-13408.8053857773	13452.0379996117	TRUE	DNET	0.99999627110899	FALSE
23.2507396501876	6852.25596201139	0.00339315107011307	0.99729266234383	groupEVNCYT	Monocytes	-13407.1709458921	13453.6724251925	TRUE	EVNCYT	0.99999627110899	FALSE
22.6273978841467	6852.25596300302	0.00330218223112468	0.997365244569237	groupGG	Monocytes	-13407.7942896018	13453.0490853701	TRUE	GG	0.99999627110899	FALSE
22.6287124566573	6852.25596277448	0.00330237407644868	0.997365091499649	groupGTAKA	Monocytes	-13407.7929745813	13453.0503994946	TRUE	GTAKA	0.99999627110899	FALSE
21.5531960039661	6852.25602668511	0.00314541603816763	0.997490325244149	groupLIPN	Monocytes	-13408.8686162988	13451.9750083068	TRUE	LIPN	0.99999627110899	FALSE
22.0371187736961	6852.2559706719	0.00321603846499845	0.997433976985185	groupMYXGNT	Monocytes	-13408.3845837432	13452.4588212906	TRUE	MYXGNT	0.99999627110899	FALSE
22.1043016630752	6852.25600099497	0.00322584294280096	0.997426154184298	groupPA	Monocytes	-13408.3174602871	13452.5260636132	TRUE	PA	0.99999627110899	FALSE
21.7761796599391	6852.2559981632	0.0031779576924412	0.997464360890396	groupRGNT	Monocytes	-13408.6455767399	13452.1979360598	TRUE	RGNT	0.99999627110899	FALSE
18.7322260427822	8481.8514324254	0.00220850673841922	0.998237868003453	groupCN	NK_Cells	-16605.696581511	16643.1610335966	TRUE	CN	0.99999627110899	FALSE
21.3046170927931	8481.85136747333	0.00251178854353581	0.997995884808466	groupDNET	NK_Cells	-16603.1240631549	16645.7332973405	TRUE	DNET	0.99999627110899	FALSE
21.4369214350351	8481.8513622119	0.00252738706676001	0.997983439027119	groupEVNCYT	NK_Cells	-16602.9917485003	16645.8655913704	TRUE	EVNCYT	0.99999627110899	FALSE
21.5691879285198	8481.8513580647	0.00254298112734685	0.997970996806921	groupGG	NK_Cells	-16602.8594738783	16645.9978497353	TRUE	GG	0.99999627110899	FALSE
21.5743491283082	8481.85137448832	0.00254358962162429	0.997970511300302	groupGTAKA	NK_Cells	-16602.8543448688	16646.0030431254	TRUE	GTAKA	0.99999627110899	FALSE
22.1471774438756	8481.85142864122	0.00261112536929022	0.997916625748922	groupLIPN	NK_Cells	-16602.2816226929	16646.5759775807	TRUE	LIPN	0.99999627110899	FALSE
19.1917779359709	8481.85140423868	0.00226268735695843	0.998194638232461	groupMYXGNT	NK_Cells	-16605.2369743718	16643.6205302438	TRUE	MYXGNT	0.99999627110899	FALSE
21.0440586460959	8481.85138734355	0.00248106901253864	0.998020395371586	groupPA	NK_Cells	-16603.3846605473	16645.4727778395	TRUE	PA	0.99999627110899	FALSE
21.6681305366389	8481.85136916505	0.00255464633763936	0.997961689345963	groupRGNT	NK_Cells	-16602.7605530269	16646.0968141001	TRUE	RGNT	0.99999627110899	FALSE
21.2080786433503	7023.89281761485	0.00301941945784875	0.997590855492648	groupCN	Neutrophil	-13745.6218438818	13788.0380011685	TRUE	CN	0.99999627110899	FALSE
21.8260852614722	7023.89280105143	0.00310740580468498	0.997520652874377	groupDNET	Neutrophil	-13745.0038047993	13788.6559753223	TRUE	DNET	0.99999627110899	FALSE
23.2542990324052	7023.89279424065	0.0033107423068121	0.997358414654341	groupEVNCYT	Neutrophil	-13743.5755776793	13790.0841757441	TRUE	EVNCYT	0.99999627110899	FALSE
22.1380565704281	7023.89280177811	0.00315182153190376	0.997485214424926	groupGG	Neutrophil	-13744.6918349147	13788.9679480555	TRUE	GG	0.99999627110899	FALSE
22.3676581555978	7023.89280072492	0.00318451018405196	0.99745913278496	groupGTAKA	Neutrophil	-13744.4622312653	13789.1975475764	TRUE	GTAKA	0.99999627110899	FALSE
22.4398258664376	7023.89285303344	0.00319478476337327	0.997450934898453	groupLIPN	Neutrophil	-13744.3901660791	13789.269817812	TRUE	LIPN	0.99999627110899	FALSE
21.3280747556951	7023.89281488795	0.0030365034486984	0.9975772245026	groupMYXGNT	Neutrophil	-13745.5018424247	13788.1579919361	TRUE	MYXGNT	0.99999627110899	FALSE
22.7628700734033	7023.89281039078	0.00324077697195622	0.99741423861529	groupPA	Neutrophil	-13744.0670382925	13789.5927784393	TRUE	PA	0.99999627110899	FALSE
22.2559214297082	7023.89281835986	0.00316860208509064	0.997471825547474	groupRGNT	Neutrophil	-13744.5740025556	13789.085845415	TRUE	RGNT	0.99999627110899	FALSE
-0.322608245101452	0.691017530113075	-0.466859712008553	0.640600251176626	groupCN	OPC	-1.67700260412308	1.03178611392018	TRUE	CN	0.99999627110899	FALSE
0.749539692901062	0.356600290690014	2.10190432388801	0.0355616577145094	groupDNET	OPC	0.0506031231486336	1.44847626265349	TRUE	DNET	0.261863115897751	FALSE
0.0405785539502284	0.396518193721962	0.102337180469157	0.918489044467571	groupEVNCYT	OPC	-0.736597105744818	0.817754213645275	TRUE	EVNCYT	0.99999627110899	FALSE
0.112793257016838	0.398365424411741	0.283140177597986	0.777069383901775	groupGG	OPC	-0.668002974830175	0.89358948886385	TRUE	GG	0.99999627110899	FALSE
-0.991062307412066	0.499843033539064	-1.98274706440339	0.0473956896085022	groupGTAKA	OPC	-1.97075465314863	-0.0113699616754994	TRUE	GTAKA	0.285753461840343	FALSE
0.743840585917203	0.724842283598757	1.02621025669767	0.304792487782499	groupLIPN	OPC	-0.67685028993636	2.16453146177077	TRUE	LIPN	0.99999627110899	FALSE
1.60989274713408	0.416085081771473	3.86914315764457	0.000109218503132117	groupMYXGNT	OPC	0.794365986861989	2.42541950740616	TRUE	MYXGNT	0.00353867950148059	TRUE
1.96076379293682	0.404040578906564	4.85288828721893	1.21676238659306e-06	groupPA	OPC	1.16884425827995	2.75268332759368	TRUE	PA	9.85577533140382e-05	TRUE
2.37351985861747	0.486392335703021	4.87984633883435	1.06168527315983e-06	groupRGNT	OPC	1.42019088063955	3.32684883659539	TRUE	RGNT	9.85577533140382e-05	TRUE
-0.795650595362655	1.00549745044161	-0.791300460297745	0.428768679893845	groupCN	Oligodendrocytes	-2.76642559822821	1.1751244075029	TRUE	CN	0.99999627110899	FALSE
1.74740477903104	0.459994635003704	3.79875034633168	0.000145427487973228	groupDNET	Oligodendrocytes	0.845815294423777	2.6489942636383	TRUE	DNET	0.00392654217527716	TRUE
-0.917855722843326	0.578589285186493	-1.58636833820294	0.112655778369044	groupEVNCYT	Oligodendrocytes	-2.05189072180885	0.2161792761222	TRUE	EVNCYT	0.554774065106007	FALSE
1.03736271160895	0.512468533475753	2.02424664900528	0.0429447799718767	groupGG	Oligodendrocytes	0.032924385996469	2.04180103722142	TRUE	GG	0.278282174217761	FALSE
-0.110946457644756	0.542541745657693	-0.204493863435821	0.83796758694798	groupGTAKA	Oligodendrocytes	-1.17432827913383	0.952435363844322	TRUE	GTAKA	0.99999627110899	FALSE
-0.681607413123224	1.24881252555572	-0.545804433551713	0.585200375358884	groupLIPN	Oligodendrocytes	-3.12927996321244	1.76606513696599	TRUE	LIPN	0.99999627110899	FALSE
1.30984764922728	0.632944549488547	2.06945087098975	0.0385037970246366	groupMYXGNT	Oligodendrocytes	0.0692763322297332	2.55041896622484	TRUE	MYXGNT	0.271200657303962	FALSE
0.0343797294075473	0.64254089616627	0.0535059007335945	0.9573288292805	groupPA	Oligodendrocytes	-1.22500042707834	1.29375988589344	TRUE	PA	0.99999627110899	FALSE
0.395491472645096	0.648926311263067	0.609455135014196	0.54222280210032	groupRGNT	Oligodendrocytes	-0.876404097430515	1.66738704272071	TRUE	RGNT	0.99999627110899	FALSE
22.6682248172646	6620.87451175702	0.00342375086206687	0.997268247384088	groupCN	Pericytes	-12954.2458182265	12999.582267861	TRUE	CN	0.99999627110899	FALSE
22.8274078009597	6620.87446031005	0.00344779348072561	0.997249064263084	groupDNET	Pericytes	-12954.0865344067	12999.7413500087	TRUE	DNET	0.99999627110899	FALSE
21.8047221659078	6620.87445754122	0.00329332965090012	0.997372307867914	groupEVNCYT	Pericytes	-12955.1092146149	12998.7186589467	TRUE	EVNCYT	0.99999627110899	FALSE
22.3310669895909	6620.87446069696	0.00337282742969275	0.997308878169948	groupGG	Pericytes	-12954.5828759765	12999.2450099556	TRUE	GG	0.99999627110899	FALSE
22.7094663110372	6620.87445723415	0.00342997990034748	0.997263277359798	groupGTAKA	Pericytes	-12954.2044698679	12999.62340249	TRUE	GTAKA	0.99999627110899	FALSE
0.123079277321674	26335.7268634423	4.67347181871503e-06	0.99999627110899	groupLIPN	Pericytes	-51617.9015730696	51618.1477316242	TRUE	LIPN	0.99999627110899	FALSE
