niche_type	histology	n_samples	estimate_log_odds	se	p_value	model_status	status_reason	warning_log	fit_error	q_value	ci_low	ci_high	sign_call
1	central neurocytoma	2	1.65797357373381	0.643930846868229	0.0100306877280039	pass	none	""		0.0656554105832985	0.395869113872078	2.92007803359554	enriched
1	cerebellar liponeurocytoma	3	1.45738030963409	0.576310980040623	0.0114450338734779	pass	none	""		0.0686702032408673	0.32781078875447	2.58694983051371	enriched
1	ganglioglioma	2	-0.872352129915664	0.784344241432793	0.266049721084666	pass	none	""		0.674249028828627	-2.40966684312394	0.66496258329261	not_significant
1	pilocytic astrocytoma	4	-1.22268969721785	0.602486007514504	0.0424167891832287	pass	none	""		0.214534470794087	-2.40356227194628	-0.0418171224894266	depleted
10	central neurocytoma	2	-0.0333321973654218	0.422100416615848	0.937058506122985	pass	none	""		0.999893466392477	-0.860649013932483	0.79398461920164	not_significant
10	cerebellar liponeurocytoma	3	-0.405328347706836	0.368665181984619	0.271572525500419	pass	none	""		0.674249028828627	-1.12791210439669	0.317255408983018	not_significant
10	ganglioglioma	2	-0.284420062071413	0.436759026497021	0.514913571716783	pass	none	""		0.887891107332216	-1.14046775400557	0.571627629862748	not_significant
10	pilocytic astrocytoma	4	0.573453577778489	0.285653213737946	0.0446946814154347	pass	none	""		0.214534470794087	0.0135732788521157	1.13333387670486	enriched
11	central neurocytoma	2	0.270007885865311	0.623265562539936	0.664858704730494	pass	none	""		0.999893466392477	-0.951592616712962	1.49160838844359	not_significant
11	cerebellar liponeurocytoma	3	1.44359671290442	0.423996608363257	0.00066227933830117	pass	none	""		0.00596051404471053	0.612563360512435	2.2746300652964	enriched
11	ganglioglioma	2	0.398667865357459	0.609120249980919	0.512791142146551	pass	none	""		0.887891107332216	-0.795207824605142	1.59254355532006	not_significant
11	pilocytic astrocytoma	4	-1.53269085426476	0.523688779960783	0.00342556231054869	pass	none	""		0.0274044984843895	-2.55912086298789	-0.506260845541621	depleted
12	central neurocytoma	2	-0.394429553090896	0.545638595777416	0.46975549814238	pass	none	""		0.887891107332216	-1.46388120081463	0.675022094632839	not_significant
12	cerebellar liponeurocytoma	3	0.196027252284693	0.42724846308241	0.646368285041173	pass	none	""		0.999893466392477	-0.641379735356831	1.03343423992622	not_significant
12	ganglioglioma	2	-0.268186384358867	0.536013215616872	0.616838934833919	pass	none	""		0.999893466392477	-1.31877228696794	0.782399518250203	not_significant
12	pilocytic astrocytoma	4	0.274062204988127	0.395012194781257	0.487803285240795	pass	none	""		0.887891107332216	-0.500161696783136	1.04828610675939	not_significant
13	central neurocytoma	2	0.0240771915989816	1.11299860303942	0.982740929652588	pass	none	""		0.999893466392477	-2.15740007035828	2.20555445355625	not_significant
13	cerebellar liponeurocytoma	3	-0.740015621282335	1.11801304088026	0.508033712645733	pass	none	""		0.887891107332216	-2.93132118140765	1.45128993884298	not_significant
13	ganglioglioma	2	-0.0271605678714893	1.11769529360952	0.98061290475232	pass	none	""		0.999893466392477	-2.21784334334615	2.16352220760317	not_significant
13	pilocytic astrocytoma	4	0.668135001135096	0.916570365513955	0.466031558526452	pass	none	""		0.887891107332216	-1.12834291527226	2.46461291754245	not_significant
14	central neurocytoma	2	1.44845438772127	0.850620150274494	0.0886014543946294	pass	none	""		0.354405817578517	-0.218761106816743	3.11566988225927	not_significant
14	cerebellar liponeurocytoma	3	1.30149073616742	0.806397111936165	0.106536626461916	pass	none	""		0.403717742381996	-0.279047603227462	2.88202907556231	not_significant
14	ganglioglioma	2	-0.421778321194144	1.09482191722611	0.700053435233508	pass	none	""		0.999893466392477	-2.56762927895732	1.72407263656903	not_significant
14	pilocytic astrocytoma	4	-19.8136755244838	8950.79787068197	0.998233787299061	fail	nonzero_convergence_code;fatal_warning_pattern;warnings_present	Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')		0.999893466392477	-17563.3775020611	17523.7501510122	not_significant
15	central neurocytoma	2	-13.0111626365326	1314.1073294838	0.992100161123838	pass	none	""		0.999893466392477	-2588.66152842478	2562.63920315172	not_significant
15	cerebellar liponeurocytoma	3	-11.1618439545754	379.256379970168	0.976520955414974	pass	none	""		0.999893466392477	-754.504348696106	732.180660786955	not_significant
15	ganglioglioma	2	-13.0102443588302	1374.06201239075	0.992445378805857	pass	none	""		0.999893466392477	-2706.1717886447	2680.15129992704	not_significant
15	pilocytic astrocytoma	4	20.2669478808693	15334.4413569334	0.998945466631321	fail	nonzero_convergence_code;fatal_warning_pattern;warnings_present	Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')		0.999893466392477	-30035.2381117086	30075.7720074703	not_significant
16	central neurocytoma	2	0.0956918464658114	0.522416480845752	0.854663401586626	pass	none	""		0.999893466392477	-0.928244455991863	1.11962814892349	not_significant
16	cerebellar liponeurocytoma	3	1.16869657484951	0.305150118525816	0.000128191697556131	pass	none	""		0.00181120666793078	0.570602342538911	1.76679080716011	enriched
16	ganglioglioma	2	-0.24423190223075	0.567463085969186	0.666910091153834	pass	none	""		0.999893466392477	-1.35645955073036	0.867995746268855	not_significant
16	pilocytic astrocytoma	4	-0.814640084409484	0.438266670972964	0.0630587291094548	pass	none	""		0.267072264463573	-1.67364275951649	0.0443625906975257	not_significant
17	central neurocytoma	2	-22.6711941361068	160451.833695027	0.999887262144038	pass	none	""		0.999893466392477	-314508.265236389	314462.922848117	not_significant
17	cerebellar liponeurocytoma	3	13.1516008668811	445.890326960473	0.976469689164511	pass	none	""		0.999893466392477	-860.793439975646	887.096641709408	not_significant
17	ganglioglioma	2	-22.629893189865	169486.819745908	0.999893466392477	pass	none	""		0.999893466392477	-332216.79659517	332171.53680879	not_significant
17	pilocytic astrocytoma	4	-16.8843030509353	6760.16035796161	0.998007190657529	pass	none	""		0.999893466392477	-13266.7986046557	13233.0299985538	not_significant
19	central neurocytoma	2	-10.9464155885468	465.958303713863	0.981257609038009	pass	none	""		0.999893466392477	-924.224690867718	902.331859690624	not_significant
19	cerebellar liponeurocytoma	3	-9.41059975214979	157.751788025026	0.952430832538541	pass	none	""		0.999893466392477	-318.6041042812	299.7829047769	not_significant
19	ganglioglioma	2	22.3625532170594	24596.7265862992	0.999274589103094	pass	none	""		0.999893466392477	-48187.2215559293	48231.9466623635	not_significant
19	pilocytic astrocytoma	4	-19.0490239563872	18484.9324771332	0.999177767111573	pass	none	""		0.999893466392477	-36249.5166791374	36211.4186312247	not_significant
2	central neurocytoma	2	-0.281824183373095	0.795232562157681	0.723045011143136	pass	none	""		0.999893466392477	-1.84048000520215	1.27683163845596	not_significant
2	cerebellar liponeurocytoma	3	0.041881664901469	0.686373206439395	0.951344241948165	pass	none	""		0.999893466392477	-1.30340981971974	1.38717314952268	not_significant
2	ganglioglioma	2	4.6544825746997	0.284198817962152	2.76629262057647e-60	pass	none	""		1.99173068681506e-58	4.09745289149388	5.21151225790552	enriched
2	pilocytic astrocytoma	4	-0.749734917250978	0.637440451322603	0.239529092566989	pass	none	""		0.663311333262431	-1.99911820184328	0.499648367341323	not_significant
